exchange
BA -
VI -
AX -
BR - 
SA -
SW - 
SS -
SZ -
F -
DE -
CO -
TL -
HE -
PA -
IL -
L - 
HK -
JK -
TA -
BO -
NS -
IC -
T -
KQ -
KS -
RG -
MX -
AS -
NZ -
WA -
LS -
ST -
SI -
BK -
IS -
TW -
TWO -

MISSING:
SN
PR
SG
DU
MU
HM
HA
MC
XC
AT
BD
IR
MI
S
QA
SR
OL
KW
VS
