ticker,yfExchange,convertedExchangePYPL,BA,
GARO,BA,
IFF,BA,
YELP,BA,
MELI,BA,
CRES,BA,
HMY,BA,
WBO,BA,
QCOM,BA,
SNAP,BA,
INTC,BA,
SEMI,BA,
ADI,BA,
ERIC,BA,
BIDU,BA,
NVDA,BA,
MMM,BA,
GCDI,BA,
TRIP,BA,
TMO,BA,
DYCA,BA,
TSLA,BA,
PHG,BA,
HAVA,BA,
GLW,BA,
HDB,BA,
BABA,BA,
NKE,BA,
AMAT,BA,
BBV,BA,
AIG,BA,
MOLA,BA,
AAPL,BA,
JD,BA,
DESP,BA,
DD,BA,
AEG,BA,
NUE,BA,
PG,BA,
KO,BA,
DISN,BA,
JNJ,BA,
HSBC,BA,
VZ,BA,
EBAY,BA,
MRK,BA,
GSK,BA,
MSFT,BA,
SAP,BA,
IBM,BA,
HOG,BA,
T,BA,
E,BA,
IP,BA,
TTE,BA,
BMY,BA,
TSM,BA,
GS,BA,
BBD,BA,
GFI,BA,
BNG,BA,
PFE,BA,
NEM,BA,
FDX,BA,
ABT,BA,
KMB,BA,
BCS,BA,
DEO,BA,
SBUX,BA,
MSI,BA,
BHP,BA,
AVY,BA,
CS,BA,
BK,BA,
JPM,BA,
FCX,BA,
GOOGL,BA,
ORCL,BA,
MDT,BA,
SUZ,BA,
GOLD,BA,
ADBE,BA,
ADP,BA,
INFY,BA,
TXN,BA,
MCD,BA,
CAT,BA,
BIIB,BA,
BP,BA,
RIO,BA,
AMGN,BA,
MO,BA,
CL,BA,
CVX,BA,
AZN,BA,
BOLT,BA,
VOD,BA,
SNA,BA,
NGG,BA,
VIV,BA,
GILD,BA,
AMD,BA,
PAAS,BA,
WMT,BA,
SCCO,BA,
CELU,BA,
NVS,BA,
WFC,BA,
GE,BA,
SAN,BA,
XOM,BA,
SUPV,BA,
NFLX,BA,
DE,BA,
HPQ,BA,
CAH,BA,
ROSE,BA,
FSLR,BA,
AXP,BA,
V,BA,
LVS,BA,
BHIP,BA,
TXR,BA,
HON,BA,
GGB,BA,
COST,BA,
AMZN,BA,
X,BA,
BYMA,BA,
LLY,BA,
HMC,BA,
HL,BA,
ERJ,BA,
LOMA,BA,
ABEV,BA,
RICH,BA,
SLB,BA,
BPAT,BA,
CSCO,BA,
LMT,BA,
SBS,BA,
USB,BA,
CDE,BA,
ARCO,BA,
ORAN,BA,
METR,BA,
XROX,BA,
GAMI,BA,
PEP,BA,
HARG,BA,
C,BA,
SHEL,BA,
INTR,BA,
GCLA,BA,
RTX,BA,
TECO2,BA,
AMX,BA,
KGC,BA,
ADGO,BA,
FMX,BA,
EDSH,BA,
MMC,BA,
ROST,BA,
SYY,BA,
MFG,BA,
IBN,BA,
HD,BA,
PAC,BA,
LONG,BA,
VRSN,BA,
TIMB,BA,
CAR,BA,
ANF,BA,
RIGO,BA,
GRIM,BA,
DOME,BA,
GRMN,BA,
ING,BA,
NG,BA,
URBN,BA,
CARC,BA,
LYG,BA,
AEM,BA,
SID,BA,
MORI,BA,
VALE,BA,
PCAR,BA,
VALO,BA,
MOLI,BA,
GGAL,BA,
TGT,BA,
ITUB,BA,
YPFD,BA,
BBAR,BA,
SONY,BA,
EDN,BA,
PAMP,BA,
HWM,BA,
MTR,BA,
CVH,BA,
BSBR,BA,
TGSU2,BA,
ASR,BA,
UGP,BA,
CRM,BA,
BMA,BA,
CECO2,BA,
TV,BA,
DGCU2,BA,
BA,BA,
COME,BA,
TM,BA,
FERR,BA,
FIPL,BA,
MIRG,BA,
INVJ,BA,
BRFS,BA,
CEPU,BA,
GBAN,BA,
AGRO,BA,
TXAR,BA,
TRAN,BA,
CTIO,BA,
CADO,BA,
AUSO,BA,
OEST,BA,
EBR,BA,
CBRD,BA,
TGNO4,BA,
CGPA2,BA,
PATA,BA,
PBI,BA,
CAPX,BA,
LEDE,BA,
IRSA,BA,
SAMI,BA,
ALUA,BA,
NTCO,BA,
LOCO,VI,
BEAG,VI,
TWLO,VI,
ABNB,VI,
